commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
60fe4e8c0054c10171a206f5f01013502c8274e2,0,2,0,1,1,0,"94, 605"
621245303ae78987d54a7011459c4635a4f80d87,2,4,0,2,3,1,"94, 605, 502"
634db2e4309a365cee2503cb65d6f2e88f519d1e,2,2,0,1,2,1,"94, 605, 502"
63c5977990fdd06b6888e81073b7c0c3795fd40d,2,4,0,2,3,1,"94, 605, 502"
64cb085f9e02f39233e3452305b58c3c768daf60,0,0,0,0,0,0,
657e98bfa2f2b55da4449c8271a108bf4f193e05,2,2,0,1,2,1,"94, 605, 502"
6760db834a92179bd0303866adfbe05852adc61b,2,2,0,1,2,1,"94, 605, 502"
68635e644f038b7728a44cbb8e9b9200abcac103,2,4,0,2,3,1,"94, 605, 502"
69c8a0b7b84017b37958d8efa275c6cbc4dfcdba,2,4,0,2,3,1,"94, 605, 502"
6da4a2ff0f0183280cdc2bffa58ddae8bf93ac41,0,2,0,1,1,0,"94, 605"
6ede62f44b8962d9bbd02e3610b626d4fe24edeb,2,4,0,2,3,1,"94, 605, 502"
70657402b6139c80ad1bc99e8e306f0f83e18d6c,22,0,0,0,0,22,703
743815e2bf5cb89ab4984f1d63a82aaa52584a6d,2,2,0,1,2,1,"94, 605, 502"
746a2937baeccc7a2a00fcb43f6564acdec677e0,0,2,0,1,1,0,"94, 605"
751f06088eb51384e9aac194c39218f4bfb93a4d,22,0,0,0,0,22,703
7bbecc091b264eb092bbc32311a0b81309a796cd,2,2,0,1,2,1,"94, 605, 502"
7cfa938f747fdb34244992339bd5172b1e1d5944,2,2,0,1,2,1,"94, 605, 502"
7e454d7a28a06a886313c2a2a68bf11dee57d95b,0,2,0,1,1,0,"94, 605"
7f183afd9c848f05830c145890c04181dcc1c46b,0,2,0,1,1,0,"94, 605"
7ff1ee5e5c9aeef0867541ab548a8971ca44f62c,2,4,0,2,3,1,"94, 605, 502"
818a4e199d6d62a06091b2390ec05db737651fcc,0,2,0,1,1,0,"94, 605"
8204ad1bf4300adb2054e6a38009f534cc6c25e1,22,0,0,0,0,22,703
8217bd259181f9dc3f64c6f15e612efea5a0ff1d,2,4,0,2,3,1,"94, 605, 502"
826824500fa8510a9aaffbf84573b5882d69686a,2,4,0,2,3,1,"94, 605, 502"
8322e7c00b7da9cbde8216c01d42330f03c5dcb9,0,2,0,1,1,0,"94, 605"
851cc622b493f6f44a350b9f5d827a1b51e4a61e,2,2,0,1,2,1,"94, 605, 502"
85a643dae52fb99b116a1bc2fe8b274b0c95ac32,0,2,0,1,1,0,"94, 605"
